Time [s],Voltage power source [V],Voltage current sensor [V]
-1.00,0.0142,2.5076
-1.00,0.0144,2.5076
-1.00,0.0142,2.5078
-1.00,0.0122,2.5076
-1.00,0.0138,2.5078
-1.00,0.0126,2.5076
-1.00,0.0150,2.5076

-1.00,0.0170,2.5077
-1.00,0.0133,2.5077
-1.00,0.0133,2.5078
-1.00,0.0122,2.5076
-1.00,0.0173,2.5076
-1.00,0.0150,2.5077
-1.00,0.0145,2.5076

-1.00,0.0135,2.5077
-1.00,0.0154,2.5076
-1.00,0.0112,2.5077
-1.00,0.0151,2.5076
-1.00,0.0113,2.5077
-1.00,0.0159,2.5076
-1.00,0.0170,2.5075
-1.00,0.0112,2.5076
-1.00,0.0133,2.5076
-1.00,0.0155,2.5078

-1.00,0.0133,2.5075
-1.00,0.0159,2.5076
-1.00,0.0139,2.5077
-1.00,0.0124,2.5077
-1.00,0.0150,2.5077
-1.00,0.0177,2.5076
-1.00,0.0164,2.5077
-1.00,0.0131,2.5076

-1.00,-0.0005,2.5037
-1.00,-0.0006,2.5038
-1.00,-0.0003,2.5035
-1.00,-0.0005,2.5034
-1.00,-0.0007,2.5034
-1.00,-0.0002,2.5032
-1.00,-0.0004,2.5037
-1.00,-0.0003,2.5037
-1.00,-0.0009,2.5034
-1.00,-0.0004,2.5038
-1.00,-0.0002,2.5036
-1.00,-0.0005,2.5038
